bird_reference	bird_shorthand	bird_shorthand_pt
1109	YCAD	Y.CAD
1110	YBAZ	Y.BAZ
1111	YCAA	Y.CAA
1112	YCAB	YC.AB
1113	YBAW	Y.BAW
1114	YBAS	YBA.S
1115	YBAN	YBA.N
1116	YBAM	YB.AM
1117	YBAJ	YB.AJ
1118	YAAR	YA.AR
1119	YAAG	YAA.G
1120	YAAA	Y.AAA
1121	UDAJ	UD.AJ
1122	UZAP	U.ZAP
1123	UNAH	U.NAH
1124	UMAJ	UM.AJ
1125	USAD	U.SAD
1126	UNAJ	UN.AJ
1127	UZAW	U.ZAW
1128	UPAU	UP.AU
1129	URAP	U.RAP
1130	UMAH	U.MAH
1131	URAS	URA.S
1132	UNAN	UNA.N
1133	USAK	USA.K
1134	UMAZ	U.MAZ
1135	UNAX	UN.AX
1136	UMAG	UMA.G
1137	USAB	US.AB
1138	YNAD	Y.NAD
1139	YMAC	YMA.C
1140	UPAM	UP.AM
1141	UNAU	UN.AU
1142	YPAU	YP.AU
1143	YNAL	Y.NAL
1144	UMAN	UMA.N
1145	UWAG	UWA.G
1146	UNAG	UNA.G
1147	UVAM	UV.AM
1148	UVAH	U.VAH
1149	UMAX	UM.AX
1150	UZAS	UZA.S
1151	UMAV	UMA.V
1152	USAW	U.SAW
1153	UTAF	UT.AF
1154	UNAT	U.NAT
1155	URAZ	U.RAZ
1156	USAC	USA.C
1157	UNAL	U.NAL
1158	UVAB	UV.AB
1159	UWAJ	UW.AJ
1160	URAU	UR.AU
1161	UWAS	UWA.S
1162	UXAD	U.XAD
1163	UTAD	U.TAD
1164	URAT	U.RAT
1165	YPAD	Y.PAD
1166	YSAS	YSA.S
1167	UZAH	U.ZAH
1168	UMAL	U.MAL
1169	UCAB	UC.AB
1170	UCAC	UCA.C
1171	UCAD	U.CAD
1172	UCAH	U.CAH
1173	UCAN	UCA.N
1174	UCAR	UC.AR
1175	UCAS	UCA.S
1176	UCAW	U.CAW
1177	UDAA	U.DAA
1178	UDAB	UD.AB
1179	UDAF	UD.AF
1180	UDAG	UDA.G
1181	UDAH	U.DAH
1182	SVAY	S.VAY
1183	UDAL	U.DAL
1184	UDAM	UD.AM
1185	UDAS	UDA.S
1186	UDAV	UDA.V
1187	UDAX	UD.AX
1188	UFAA	U.FAA
1189	UFAB	UF.AB
1190	UFAD	U.FAD
1191	UFAH	U.FAH
1192	UFAJ	UF.AJ
1193	UFAL	U.FAL
1194	UFAM	UF.AM
1195	UFAN	UFA.N
1196	UFAS	UFA.S
1197	UFAV	UFA.V
1198	UFAX	UF.AX
1199	UFAZ	U.FAZ
1200	MDAH	MDA.H
1201	MDAJ	M.DAJ
1202	MDAP	MDA.P
1203	PJAX	PJA.X
1204	PKAB	PK.AB
1205	MDAU	M.DAU
1206	PKAM	PK.AM
1207	PKAU	PK.AU
1208	PKAZ	P.KAZ
1209	YLAF	YL.AF
1210	SVAZ	SVA.Z
1211	UAAH	U.AAH
1212	SWAA	S.WAA
1213	SWAD	S.WAD
1214	SUAD	SUA.D
1215	UBAX	UB.AX
1216	UCAA	U.CAA
1217	TSAJ	T.SAJ
1218	RTAS	RTA.S
1219	TSAA	TSA.A
1220	LFAW	LFAW
1221	TRAD	T.RAD
1222	TRAC	TRA.C
1223	TRAG	TRA.G
1224	TRAH	T.RAH
1225	TRAK	TRA.K
1226	TRAN	TRA.N
1227	TRAR	TR.AR
1228	TRAS	TRA.S
1229	TRAT	T.RAT
1230	TRAU	TR.AU
1231	TPAZ	TPA.Z
1232	TRAA	T.RAA
1233	TPAK	T.PAK
1234	TPAC	T.PAC
1235	TPAD	TP.AD
1236	TPAF	TPA.F
1237	TNAG	TN.AG
1238	TNAH	TNA.H
1239	TNAK	TN.AK
1240	TNAL	TNA.L
1241	TNAM	T.NAM
1242	GJAS	GJAS
1243	HSAS	HSAS
1244	GVAG	GVAG
1245	BWAD	BWAD
1246	KLAT	KLAT
1247	YLAT	Y.LAT
1248	YKAT	Y.KAT
1249	YLAH	Y.LAH
1250	YGAA	Y.GAA
1251	CLAJ	CLAJ
1252	PR3	PR3
1253	DGAB	DGAB
1254	GWAA	GWAA
1255	LHAP	LH.AP
1256	TKAL	TKA.L
1257	TJAM	TJ.AM
1258	TJAX	T.JAX
1259	TPAN	T.PAN
1260	TJAD	T.JAD
1261	THAP	TH.AP
1262	THAS	T.HAS
1263	UFAF	UF.AF
1264	TLAN	T.LAN
1265	TKAX	TKA.X
1266	UNAB	UN.AB
1267	UNAK	UNA.K
1268	TLAG	T.LAG
1269	TJAH	T.JAH
1270	THAW	TH.AW
1271	YKAM	YK.AM
1272	THAX	TH.AX
1273	TJAB	TJ.AB
1274	TLAP	TL.AP
1275	YXAH	Y.XAH
1276	YHAV	YHA.V
1277	YUAG	YUA.G
1278	TJAL	T.JAL
1279	UNAA	U.NAA
1280	TKAN	TK.AN
1281	TKAR	T.KAR
1282	TJAF	TJ.AF
1283	TKAB	T.KAB
1284	THAU	THA.U
1285	TKAU	T.KAU
1286	USAP	U.SAP
1287	UCAL	U.CAL
1288	TPAR	TPA.R
1289	YJAW	Y.JAW
1290	YJAK	YJA.K
1291	YHAR	YH.AR
1292	TLAL	TL.AL
1293	LHAR	LHA.R
1294	LHAS	L.HAS
1295	LHAT	LH.AT
1296	CMAF	C.MAF
1297	CLAT	C.LAT
1298	FPAZ	F.PAZ
1299	FPAT	F.PAT
1300	FRAK	FR.AK
1301	CMAA	CMA.A
1302	CMAB	C.MAB
1303	CMAC	CM.AC
1304	CMAG	CM.AG
1305	CMAX	C.MAX
1306	CLAM	CL.AM
1307	CLAN	CLA.N
1308	CLAP	C.LAP
1309	CLAR	CL.AR
1310	CLAS	CLA.S
1311	CLAW	C.LAW
1312	CLAL	C.LAL
1313	CLAU	CL.AU
1314	CLAH	C.LAH
1315	CLAK	CLA.K
1316	CLAV	CLA.V
1317	CLAX	CL.AX
1318	CLAZ	C.LAZ
1319	CRAA	CRA.A
1320	CRAB	C.RAB
1321	CRAC	CR.AC
1322	CRAD	CRA.D
1323	CRAF	C.RAF
1324	CRAG	CR.AG
1325	CRAH	CRA.H
1326	CRAJ	C.RAJ
1327	CRAK	CR.AK
1328	HYAA	HY.AA
1329	HYAB	HYA.B
1330	HYAD	HY.AD
1331	CRAN	CR.AN
1332	CRAL	CRA.L
1333	CRAP	CRA.P
1334	CRAS	CR.AS
1335	CRAT	CRA.T
1336	CRAU	C.RAU
1337	CRAV	CR.AV
1338	CRAW	CRA.W
1339	CRAX	C.RAX
1340	CRAZ	CRA.Z
1341	CSAA	CS.AA
1342	CSAC	C.SAC
1343	CSAF	CSA.F
1344	HYAH	HY.AH
1345	HYAG	H.YAG
1346	HYAC	H.YAC
1347	HYAF	HYA.F
1348	CSAB	CSA.B
1349	CSAG	C.SAG
1350	CSAJ	CSA.J
1351	CSAD	CS.AD
1352	HAAF	HA.AF
1353	CNAU	CNA.U
1354	CNAK	C.NAK
1355	CNAN	C.NAN
1356	CNAR	CNA.R
1357	CNAS	C.NAS
1358	CNAT	CN.AT
1359	HAAM	HA.AM
1360	HAAG	HAA.G
1361	HAAJ	HA.AJ
1362	HAAL	H.AAL
1363	HAAK	HAA.K
1364	HAAP	H.AAP
1365	HAAR	HA.AR
1366	HAAN	HAA.N
1367	HAAS	HAA.S
1368	HAAT	H.AAT
1369	HAAX	HA.AX
1370	HAAW	H.AAW
1371	HAAZ	H.AAZ
1372	HDAA	H.DAA
1373	HDAB	HD.AB
1374	HDAD	H.DAD
1375	HDAG	HDA.G
1376	HDAC	HDA.C
1377	HDAH	H.DAH
1378	HDAN	HDA.N
1379	HDAF	HD.AF
1380	HDAU	HD.AU
1381	HDAW	H.DAW
1382	HDAL	H.DAL
1383	HDAR	HD.AR
1384	HDAP	H.DAP
1385	HDAJ	HD.AJ
1386	HDAM	HD.AM
1387	HDAV	HDA.V
1388	HDAZ	H.DAZ
1389	HDAX	HD.AX
1390	HDAT	H.DAT
1391	HMAA	HMA.A
1392	HMAB	H.MAB
1393	HMAC	HM.AC
1394	HMAD	HMA.D
1395	HMAG	HM.AG
1396	HMAR	H.MAR
1397	HMAP	HMA.P
1398	HMAL	HMA.L
1399	HMAJ	H.MAJ
1400	HMAK	HM.AK
1401	HMAH	HMA.H
1402	HMAF	H.MAF
1403	HMAM	H.MAM
1404	HMAU	H.MAU
1405	HMAS	HM.AS
1406	HMAN	HM.AN
1407	HMAZ	HMA.Z
1408	HMAT	HMA.T
1409	HMAV	HM.AV
1410	HMAX	H.MAX
1411	HMAW	HMA.W
1412	HZAA	H.ZAA
1413	CNAP	CNAP
1414	CNAM	CNA.M
1415	CFAL	CFA.L
1416	CFAH	CFA.H
1417	HNAG	H.NAG
1418	CFAW	CFA.W
1419	HSAG	H.SAG
1420	CJAS	CJ.AS
1421	CKAU	CKA.U
1422	HPAW	H.PAW
1423	HTAG	HTA.G
1424	HKAT	HKAT
1425	HKAP	HK.AP
1426	CKAS	C.KAS
1427	HKAW	HK.AW
1428	HKAM	HKA.M
1429	HKAK	H.KAK
1430	HKAL	HK.AL
1431	HKAU	HKA.U
1432	CKAR	CKA.R
1433	CKAZ	CK.AZ
1434	CSAL	CS.AL
1435	CSAN	C.SAN
1436	CSAM	CSA.M
1437	CSAS	C.SAS
1438	CSAH	CS.AH
1439	CSAX	CSA.X
1440	CSAT	CS.AT
1441	CSAU	CSA.U
1442	CSAV	C.SAV
1443	CSAZ	CS.AZ
1444	CSAR	CSA.R
1445	CSAW	CS.AW
1446	CSAP	CS.AP
1447	CNAD	CN.AD
1448	CNAJ	CNA.J
1449	CNAW	CN.AW
1450	CNAG	C.NAG
1451	CNAH	CN.AH
1452	CNAL	CN.AL
1453	HZAP	H.ZAP
1454	HZAU	HZ.AU
1455	HZAC	HZA.C
1456	HZAM	HZ.AM
1457	HZAW	H.ZAW
1458	HZAD	H.ZAD
1459	HZAF	HZ.AF
1460	HZAL	H.ZAL
1461	HZAK	HZA.K
1462	HZAT	H.ZAT
1463	HZAS	HZA.S
1464	HZAX	HZ.AX
1465	HZAR	HZ.AR
1466	KJAL	KJ.AL
1467	HZAV	HZA.V
1468	HZAZ	H.ZAZ
1469	HZAG	HZA.G
1470	HZAN	HZA.N
1471	HZAJ	HZ.AJ
1472	HZAH	H.ZAH
1473	HCAP	HC.AP
1474	HCAM	HCAM
1475	KJAG	KJ.AG
1476	HCAR	HCA.R
1477	KJAF	KJ.AF
1478	KJAD	KJ.AD
1479	HCAG	H.CAG
1480	HCAH	HCAH
1481	HCAJ	HCA.J
1482	HCAZ	HC.AZ
1483	HCAX	HCA.X
1484	HCAU	HCAU
1485	HCAV	H.CAV
1486	HCAW	HC.AW
1487	KJAN	KJ.AN
1488	KJAP	KJ.AP
1489	HCAK	H.CAK
1490	HCAL	HC.AL
1491	HJAZ	HJA.Z
1492	HCAN	H.CAN
1493	KJAR	KJ.AR
1494	HCAS	H.CAS
1495	HRAA	HRA.A
1496	HRAB	H.RAB
1497	HZAB	HZ.AB
1498	CPAA	C.PAA
1499	KUAB	KU.AB
1500	KUAL	KU.AL
1501	KUAM	KU.AM
1502	KUAT	KU.AT
1503	KUAS	KU.AS
1504	CPAJ	CP.AJ
1505	KUAF	KU.AF
1506	KUAJ	KU.AJ
1507	KUAK	KU.AK
1508	CPAH	C.PAH
1509	CPAB	CP.AB
1510	CPAK	CPA.K
1511	CPAV	CPA.V
1512	HLAD	H.LAD
1513	CHAN	CHA.N
1514	CHAT	C.HAT
1515	CHAF	CH.AF
1516	KSAM	KS.AM
1517	KPAL	KP.AL
1518	HUAF	HUAF
1519	CHAP	C.HAP
1520	CHAU	CH.AU
1521	KCAH	KC.AH
1522	KTAC	KT.AC
1523	CKAX	CKA.X
1524	CKAM	CKA.M
1525	CKAD	CK.AD
1526	CKAF	CKA.F
1527	KCAA	KC.AA
1528	KCAC	KC.AC
1529	KCAD	KC.AD
1530	KCAK	KC.AK
1531	KSAV	KS.AV
1532	KFAD	KF.AD
1533	KFAG	KF.AG
1534	KFAH	KF.AH
1535	KFAJ	KF.AJ
1536	KFAL	KF.AL
1537	KFAM	KF.AM
1538	KFAN	KF.AN
1539	KFAP	KF.AP
1540	KFAR	KF.AR
1541	KFAS	KF.AS
1542	KFAT	KF.AT
1543	KFAU	KF.AU
1544	KFAV	KF.AV
1545	KFAW	KF.AW
1546	KFAZ	KF.AZ
1547	KGAB	KG.AB
1548	KGAC	KG.AC
1549	KGAD	KG.AD
1550	KGAF	KG.AF
1551	KGAG	KG.AG
1552	KGAH	KG.AH
1553	KGAJ	KG.AJ
1554	KGAL	KG.AL
1555	CNAV	C.NAV
1556	HRAW	HRA.W
1557	CHAK	CHA.K
1558	HRAZ	HRA.Z
1559	HRAV	HR.AV
1560	HLAA	H.LAA
1561	HLAC	HLA.C
1562	HLAH	H.LAH
1563	HLAK	HLA.K
1564	HLAF	HL.AF
1565	CPAZ	C.PAZ
1566	CFAD	CFA.D
1567	HLAN	HLA.N
1568	HLAB	HL.AB
1569	HLAJ	HL.AJ
1570	HLAT	H.LAT
1571	HLAW	H.LAW
1572	HLAV	HLA.V
1573	CFAF	C.FAF
1574	HLAR	HL.AR
1575	HLAP	H.LAP
1576	HLAG	HLA.G
1577	HLAU	HL.AU
1578	HLAS	HLA.S
1579	HLAX	HL.AX
1580	CFAG	CF.AG
1581	HLAZ	H.LAZ
1582	HNAA	HN.AA
1583	HNAB	HNA.B
1584	HHAZ	H.HAZ
1585	KJAM	KJ.AM
1586	CFAU	C.FAU
1587	CGAC	C.GAC
1588	KPAJ	KP.AJ
1589	CFAZ	CFA.Z
1590	CPAX	CP.AX
1591	CGAU	CGA.U
1592	KTAK	KT.AK
1593	CKAH	CK.AH
1594	HUAT	HUA.T
1595	KSAW	KS.AW
1596	KSAD	KS.AD
1597	KSAA	KS.AA
1598	KSAB	KS.AB
1599	KSAG	KS.AG
1600	KSAH	KS.AH
1601	KSAK	KS.AK
1602	KSAL	KS.AL
1603	KSAR	KS.AR
1604	KSAS	KS.AS
1605	KSAT	KS.AT
1606	KSAU	KS.AU
1607	KSAZ	KS.AZ
1608	KTAA	KT.AA
1609	KTAB	KT.AB
1610	KTAF	KT.AF
1611	KTAG	KT.AG
1612	KCAL	KC.AL
1613	KCAM	KC.AM
1614	KCAP	KC.AP
1615	KCAR	KC.AR
1616	KCAS	KC.AS
1617	KCAT	KC.AT
1618	KCAU	KC.AU
1619	KCAY	KC.AY
1620	KFAA	KF.AA
1621	KCAZ	KC.AZ
1622	KFAC	KF.AC
1623	HRAK	HR.AK
1624	HLAL	H.LAL
1625	HGAW	HG.AW
1626	KTAJ	KT.AJ
1627	KTAM	KT.AM
1628	KTAP	KT.AP
1629	KTAR	KT.AR
1630	KTAS	KT.AS
1631	KTAT	KT.AT
1632	KTAU	KT.AU
1633	KTAV	KT.AV
1634	KTAW	KT.AW
1635	KTAZ	KT.AZ
1636	KVAD	KV.AD
1637	KVAF	KV.AF
1638	KVAG	KV.AG
1639	KVAH	KV.AH
1640	KVAK	KV.AK
1641	KVAM	KV.AM
1642	KVAN	KV.AN
1643	KVAP	KV.AP
1644	KVAR	KV.AR
1645	KVAS	KV.AS
1646	KVAT	KV.AT
1647	KVAU	KV.AU
1648	KVAV	KV.AV
1649	KVAW	KV.AW
1650	KVAZ	KV.AZ
1651	CJAM	C.JAM
1652	CGAM	CGA.M
1653	HRAP	HRA.P
1654	CGAV	C.GAV
1655	HNAM	HNA.M
1656	HNAC	H.NAC
1657	HNAT	HN.AT
1658	HNAU	HNA.U
1659	HNAL	HN.AL
1660	HNAD	HN.AD
1661	CFAM	C.FAM
1662	CFAN	CF.AN
1663	CFAJ	C.FAJ
1664	CFAP	CFA.P
1665	CFAR	C.FAR
1666	CFAS	CF.AS
1667	CFAT	CFA.T
1668	CFAX	C.FAX
1669	CGAA	CG.AA
1670	CGAB	CGA.B
1671	CGAD	CG.AD
1672	CGAF	CGA.F
1673	CGAG	C.GAG
1674	CGAH	CG.AH
1675	CGAJ	CGA.J
1676	CGAN	C.GAN
1677	CGAP	CG.AP
1678	CGAK	C.GAK
1679	CGAL	CG.AL
1680	CGAR	CGA.R
1681	CGAW	CG.AW
1682	CGAX	CGA.X
1683	CGAZ	CG.AZ
1684	CJAA	CJA.A
1685	CJAC	CJ.AC
1686	CJAD	CJA.D
1687	HFAC	HF.AC
1688	HNAP	HN.AP
1689	HNAF	HNA.F
1690	HNAN	H.NAN
1691	HFAA	HFA.A
1692	KTAL	KT.AL
1693	CFAK	CF.AK
1694	HFAG	HF.AG
1695	CHAV	CHA.V
1696	CHAW	C.HAW
1697	CGAT	CG.AT
1698	HNAW	HN.AW
1699	HNAV	H.NAV
1700	HNAH	HN.AH
1701	HNAX	HNA.X
1702	HNAZ	HN.AZ
1703	HFAB	H.FAB
1704	HFAD	HFA.D
1705	HFAF	H.FAF
1706	HFAH	HFA.H
1707	HFAJ	H.FAJ
1708	HFAK	HF.AK
1709	HFAL	HFA.L
1710	HFAM	H.FAM
1711	CKAN	C.KAN
1712	CKAG	C.KAG
1713	CKAK	C.KAK
1714	CKAJ	CKA.J
1715	CKAW	CK.AW
1716	CJAL	CJA.L
1717	CJAK	CJ.AK
1718	HTAK	HTA.K
1719	CKAP	CK.AP
1720	HFAN	HF.AN
1721	HFAR	HFAR
1722	HFAP	HFA.P
1723	HFAS	HF.AS
1724	HFAV	HF.AV
1725	HFAX	H.FAX
1726	HFAU	H.FAU
1727	HFAW	HFA.W
1728	HFAZ	HFA.Z
1729	HYAJ	HYA.J
1730	HYAL	HY.AL
1731	HYAK	H.YAK
1732	HYAM	HYA.M
1733	HYAP	HY.AP
1734	HYAT	HY.AT
1735	HYAU	HYA.U
1736	HYAN	H.YAN
1737	HYAW	HY.AW
1738	HYAR	HYA.R
1739	HYAS	H.YAS
1740	HYAZ	HY.AZ
1741	HTAB	HT.AB
1742	HTAC	HTA.C
1743	HTAD	H.TAD
1744	HTAF	HT.AF
1745	HTAL	H.TAL
1746	HTAJ	HT.AJ
1747	HTAN	HTA.N
1748	HTAM	HT.AM
1749	HTAZ	H.TAZ
1750	CJAB	C.JAB
1751	HTAS	HTA.S
1752	HTAR	HT.AR
1753	HTAP	H.TAP
1754	HTAX	HT.AX
1755	HTAW	H.TAW
1756	HTAT	H.TAT
1757	HTAH	H.TAH
1758	HTAU	HT.AU
1759	HSAM	HSA.M
1760	HSAA	HS.AA
1761	HYAX	HYA.X
1762	HSAF	HSA.F
1763	HSAR	HSA.R
1764	HSAP	HS.AP
1765	HSAV	H.SAV
1766	HSAW	HS.AW
1767	HSAU	HSA.U
1768	HSAX	HSA.X
1769	HSAT	HS.AT
1770	HSAB	HSA.B
1771	HSAD	HS.AD
1772	CJAP	CJA.P
1773	CJAR	C.JAR
1774	CJAF	C.JAF
1775	CJAV	CJ.AV
1776	CJAN	CJ.AN
1777	CJAW	CJA.W
1778	FNAK	F.NAK
1779	KGAM	KG.AM
1780	KGAP	KG.AP
1781	KGAS	KG.AS
1782	KGAT	KG.AT
1783	KGAU	KG.AU
1784	KGAV	KG.AV
1785	KGAW	KG.AW
1786	KGAZ	KG.AZ
1787	KKAC	KK.AC
1788	KKAD	KK.AD
1789	KKAF	KK.AF
1790	KKAG	KK.AG
1791	E373	E373
1792	KKAK	KK.AK
1793	KKAL	KK.AL
1794	KKAM	KK.AM
1795	KKAN	KK.AN
1796	KKAP	KK.AP
1797	KKAR	KK.AR
1798	KKAT	KK.AT
1799	KKAU	KK.AU
1800	KKAV	KK.AV
1801	KKAZ	KK.AZ
1802	KPAB	KP.AB
1803	KPAC	KP.AC
1804	KPAF	KP.AF
1805	KPAG	KP.AG
1806	KPAH	KP.AH
1807	KPAK	KP.AK
1808	KPAN	KP.AN
1809	KPAR	KP.AR
1810	KPAS	KP.AS
1811	KPAW	KP.AW
1812	KPAY	KP.AY
1813	HGAV	H.GAV
1814	HJAK	HJ.AK
1815	HGAC	H.GAC
1816	KJAZ	KJ.AZ
1817	HJAR	H.JAR
1818	AABA	AABA
1819	HJAF	H.JAF
1820	HGAR	HGA.R
1821	CMAK	CM.AK
1822	CMAL	CMA.L
1823	CPAM	CP.AM
1824	CMAP	CMA.P
1825	CMAS	CM.AS
1826	CMAW	CMA.W
1827	GMAU	G.MAU
1828	CMAH	CMA.H
1829	CMAJ	C.MAJ
1830	HRAX	H.RAX
1831	CLAB	CL.AB
1832	CPAD	C.PAD
1833	CPAN	CPA.N
1834	HGAS	H.GAS
1835	HJAD	HJA.D
1836	CPAL	C.PAL
1837	CPAP	C.PAP
1838	CPAR	CP.AR
1839	CPAS	CPA.S
1840	CPAT	C.PAT
1841	CPAW	C.PAW
1842	HGAA	HG.AA
1843	HGAB	HGA.B
1844	CMAR	C.MAR
1845	CHAS	CHA.S
1846	CHAX	CH.AX
1847	CHAR	CH.AR
1848	CHAZ	C.HAZ
1849	CHAB	CH.AB
1850	HSAN	H.SAN
1851	HSAK	H.SAK
1852	HSAH	HS.AH
1853	HSAJ	HSA.J
1854	HUAJ	H.UAJ
1855	HSAL	HS.AL
1856	HUAR	H.UAR
1857	HUAL	HUA.L
1858	HUAW	HUA.W
1859	HUAB	H.UAB
1860	HUAP	HUA.P
1861	HUAX	H.UAX
1862	HUAH	HUA.H
1863	HUAG	HU.AG
1864	HUAK	HU.AK
1865	CHAH	C.HAH
1866	HUAU	H.UAU
1867	HUAA	HUA.A
1868	HUAM	H.UAM
1869	CHAD	C.HAD
1870	CHAJ	CH.AJ
1871	CHAG	CHA.G
1872	CHAA	C.HAA
1873	CHAC	CHA.C
1874	HUAS	HU.AS
1875	HUAV	HU.AV
1876	HUAZ	HUA.Z
1877	HUAN	HU.AN
1878	KJAJ	KJ.AJ
1879	KJAU	KJ.AU
1880	KJAT	KJ.AT
1881	CMAN	CM.AN
1882	FRAB	F.RAB
1883	CMAT	CMA.T
1884	CNAZ	CN.AZ
1885	CPAC	CPA.C
1886	CPAG	CPA.G
1887	GMAS	GM.AS
1888	GMAV	GM.AV
1889	CLAG	CLA.G
1890	CZAU	CZ.AU
1891	HCAD	HC.AD
1892	LCAV	LC.AV
1893	CLAD	C.LAD
1894	KWAB	KW.AB
1895	LGAL	LGA.L
1896	CUAL	CUA.L
1897	KYAN	KY.AN
1898	LFAA	L.FAA
1899	CZAR	CZ.AR
1900	CUAB	C.UAB
1901	CUAM	C.UAM
1902	CVAG	C.VAG
1903	CWAA	C.WAA
1904	CYAC	C.YAC
1905	CYAG	C.YAG
1906	CYAN	C.YAN
1907	CYAV	C.YAV
1908	CCAR	CCA.R
1909	CDAN	CDA.N
1910	CUAN	CU.AN
1911	CUAA	CUA.A
1912	CVAD	CV.AD
1913	CVAH	CV.AH
1914	B50	B50
1915	CWAB	CW.AB
1916	R7	R7
1917	CYAT	CY.AT
1918	CYAW	CY.AW
1919	CYAJ	CYA.J
1920	CYAM	CYA.M
1921	CYAR	CYA.R
1922	UBAM	UB.AM
1923	UBAP	U.BAP
1924	UBAT	U.BAT
1925	UBAV	UBA.V
1926	UBAW	U.BAW
1927	TMAP	T.MAP
1928	TMAR	TM.AR
1929	TMAS	TMA.S
1930	TMAL	T.MAL
1931	UTAK	UTA.K
1932	TGAJ	T.GAJ
1933	TFAU	TF.AU
1934	YKAG	YKA.G
1935	TJAC	TJA.C
1936	TLAD	TL.AD
1937	TJAK	TJA.K
1938	TLAM	TLA.M
1939	UBAB	UB.AB
1940	TJAG	TJA.G
1941	TKAH	TKA.H
1942	TPAU	TPA.U
1943	MGAS	MGA.S
1944	MJAD	MJ.AD
1945	THAM	THA.M
1946	YJAB	YJ.AB
1947	YTAV	YTA.V
1948	UCAU	UC.AU
1949	EAHL	EAHL
1950	EAHN	EAHN
1951	YXAD	Y.XAD
1952	UAAW	U.AAW
1953	TJAR	TJ.AR
1954	URAH	U.RAH
1955	UCAP	U.CAP
1956	YKAY	YKA.Y
1957	UDAZ	U.DAZ
1958	YJAM	YJ.AM
1959	YXAN	YXA.N
1960	YHAD	Y.HAD
1961	YKAP	Y.KAP
1962	YJAC	YJA.C
1963	YKAA	Y.KAA
1964	YXAW	Y.XAW
1965	YLAD	Y.LAD
1966	THAT	TH.AT
1967	TJAU	TJ.AU
1968	TLAC	T.LAC
1969	TPAL	TP.AL
1970	TLAF	TLA.F
1971	TKAK	TK.AK
1972	TLAB	TLA.B
1973	URAV	URA.V
1974	MSAB	MS.AB
1975	TKAP	TKA.P
1976	UAAP	U.AAP
1977	UPAS	UPA.S
1978	UBAG	UBA.G
1979	UPAX	UP.AX
1980	UCAT	U.CAT
1981	BBH	BBH
1982	BBJ	BBJ
1983	BBK	BBK
1984	BBL	BBL
1985	BBM	BBM
1986	BBN	BBN
1987	BBP	BBP
1988	BBR	BBR
1989	BBS	BBS
1990	BBU	BBU
1991	BBT	BBT
1992	YCAY	YCA.Y
1993	YAAF	YA.AF
1994	YDAY	YDA.Y
1995	YAAN	YAA.N
1996	YAAL	Y.AAL
1997	PGAF	PG.AF
1998	PGAG	PGA.G
1999	PGAH	P.GAH
2000	PGAK	PGA.K
2001	PGAL	P.GAL
2002	BY	BY
2003	THAL	TH.AL
2004	THAR	THA.R
2005	YAAY	YAA.Y
2006	THAV	T.HAV
2007	C1	C1
2008	C2	C2
2009	C3	C3
2010	NYAJ	NYA.J
2011	PCAA	P.CAA
2012	PDAK	PD.AK
2013	PDAP	PDA.P
2014	MDAW	MDA.W
2015	MDAZ	MDA.Z
2016	MFAB	MFA.B
2017	MFAD	MF.AD
2018	MDAX	M.DAX
2019	MFAA	MF.AA
2020	MHAH	MHA.H
2021	MHAJ	M.HAJ
2022	MNAV	MNA.V
2023	MUAN	M.UAN
2024	MBAA	MB.AA
2025	MBAC	M.BAC
2026	MBAD	MB.AD
2027	MBAJ	MBA.J
2028	NSAS	N.SAS
2029	MBAL	MB.AL
2030	NSAT	NS.AT
2031	TJAT	T.JAT
2032	THAN	T.HAN
2033	TPAA	TP.AA
2034	TLAH	TL.AH
2035	TJAZ	TJ.AZ
2036	TPAT	TP.AT
2037	TKAG	TK.AG
2038	NSAU	NSA.U
2039	NSAV	N.SAV
2040	NSAW	NS.AW
2041	MBAS	M.BAS
2042	MUAP	MU.AP
2043	PDAS	PD.AS
2044	KDAS	KDAS
2045	GMAG	GMAG
2046	KHAD	KHAD
2047	HNAJ	HNAJ
2048	KWAP	KWAP
2049	UDAR	UD.AR
2050	KKAA	KKAA
2051	KMAR	KMAR
2052	LRAH	LRAH
2053	TY2	TY2
2054	RTO	RTO
2055	LDAC	LDAC
2056	E099	E099
2057	KDAH	KDAH
2058	TLAA	TL.AA
2059	TKAC	TK.AC
2060	UPAN	UPA.N
2061	USAH	U.SAH
2062	TKAM	T.KAM
2063	UCAZ	U.CAZ
2064	TKAD	TKA.D
2065	TKAJ	T.KAJ
2066	TLAJ	TLA.J
2067	TKAS	TK.AS
2068	YAAT	Y.AAT
2069	TJAA	T.JAA
2070	YGAJ	YG.AJ
2071	YUAL	Y.UAL
2072	YHAN	YHA.N
2073	YCAS	YCA.S
2074	YLAW	Y.LAW
2075	YBAY	YBA.Y
2076	PTAR	P.TAR
2077	YCAJ	YC.AJ
2078	TKAT	TKA.T
2079	URAB	UR.AB
2080	USAV	USA.V
2081	YCAV	YCA.V
2082	SZAD	SZA.D
2083	YBAR	YB.AR
2084	YTAM	YT.AM
2085	YXAU	YX.AU
2086	YFAJ	YF.AJ
2087	YDAK	YDA.K
2088	YBAD	Y.BAD
2089	YWAF	YW.AF
2090	YFAC	YFA.C
2091	YFAD	Y.FAD
2092	YKAX	YK.AX
2093	YWAD	Y.WAD
2094	YBAV	YBA.V
2095	YAAP	Y.AAP
2096	YGAU	YG.AU
2097	YTAC	YTA.C
2098	YHAH	Y.HAH
