bird_reference	bird_shorthand	bird_shorthand_pt
262	ASAA	ASAA
263	ASAB	ASAB
264	ASAL	ASAL
265	ASAN	ASAN
266	ASAD	ASAD
267	ADAW	ADAW
268	AFAJ	AFAJ
269	AFAK	AFAK
270	AFAR	AFAR
271	AFAU	AFAU
272	AGAP	AGAP
273	AHAL	AHAL
274	AJAT	AJAT
275	AKAC	AKAC
276	AKAL	AKAL
277	AKAR	AKAR
278	AKAW	AKAW
279	AMAS	AMAS
280	ANAA	ANAA
281	ANAB	ANAB
282	ANAM	ANAM
283	APAK	APAK
284	APAP	APAP
285	APAY	APAY
286	ARAC	ARAC
287	ARAT	ARAT
288	ASAF	ASAF
289	AUAS	AUAS
290	AUAZ	AUAZ
291	AVAJ	AVAJ
292	AVAU	AVAU
293	BJAC	BJAC
294	AXAF	AXAF
295	AZAY	AZAY
296	BUAC	BUAC
297	BUAD	BUAD
298	GZAZ	G.ZAZ
299	BUAK	BUAK
300	BUAP	BUAP
301	BUAU	BUAU
302	BUAX	BUAX
303	BUAY	BUAY
304	BVAA	BVAA
305	BVAD	BVAD
306	BVAF	BVAF
307	BVAL	BVAL
308	BVAS	BVAS
309	BVAT	BVAT
310	BVAW	BVAW
311	BVAX	BVAX
312	BVAZ	BVAZ
313	BWAA	BWAA
314	BWAB	BWAB
315	BWAJ	BWAJ
316	BWAL	BWAL
317	BWAM	BWAM
318	BWAN	BWAN
319	BWAP	BWAP
320	BUAF	BUAF
321	GCAG	GC.AG
322	BUAJ	BUAJ
323	BUAL	BUAL
324	BUAM	BUAM
325	BUAN	BUAN
326	BUAS	BUAS
327	BUAT	BUAT
328	BUAV	BUAV
329	BUAW	BUAW
330	BUAZ	BUAZ
331	BVAB	BVAB
332	BVAC	BVAC
333	BVAG	BVAG
334	BVAH	BVAH
335	GHAV	G.HAV
336	BVAK	BVAK
337	BVAN	BVAN
338	BVAP	BVAP
339	BVAR	BVAR
340	BVAV	BVAV
341	BVAY	BVAY
342	BWAC	BWAC
343	BWAF	BWAF
344	BWAG	BWAG
345	BWAH	BWAH
346	BWAK	BWAK
347	ABAZ	ABAZ
348	AAAZ	AAAZ
349	BXAA	BXAA
350	BXAC	BXAC
351	BXAD	BXAD
352	BXAF	BXAF
353	BXAG	BXAG
354	BXAH	BXAH
355	BXAJ	BXAJ
356	BXAK	BXAK
357	BXAL	BXAL
358	BXAM	BXAM
359	BXAN	BXAN
360	BXAP	BXAP
361	BXAR	BXAR
362	BXAS	BXAS
363	BXAT	BXAT
364	BXAU	BXAU
365	BXAV	BXAV
366	BWAR	BWAR
367	CAAK	CAAK
368	CAAL	CAAL
369	CAAM	CAAM
370	CAAN	CAAN
371	CAAP	CAAP
372	CAAR	CAAR
373	CAAS	CAAS
374	CAAT	CAAT
375	CAAU	CAAU
376	CAAV	CAAV
377	CAAW	CAAW
378	CAAX	CAAX
379	CAAY	CAAY
380	CAAZ	CAAZ
381	BWAS	BWAS
382	BWAT	BWAT
383	BWAU	BWAU
384	BWAV	BWAV
385	BWAW	BWAW
386	BWAX	BWAX
387	BWAY	BWAY
388	CBAA	CBAA
389	CBAB	CBAB
390	CBAC	CBAC
391	CBAD	CBAD
392	CBAF	CBAF
393	CBAG	CBAG
394	CBAH	CBAH
395	CBAJ	CBAJ
396	CBAK	CBAK
397	CBAL	CBAL
398	CBAM	CBAM
399	CBAN	CBAN
400	CBAP	CBAP
401	CBAS	CBAS
402	CBAT	CBAT
403	CBAU	CBAU
404	CBAV	CBAV
405	CBAW	CBAW
406	CBAX	CBAX
407	CBAY	CBAY
408	CBAZ	CBAZ
409	BZAA	BZAA
410	BZAB	BZAB
411	BZAC	BZAC
412	BZAD	BZAD
413	BZAF	BZAF
414	BZAG	BZAG
415	BZAH	BZAH
416	BZAJ	BZAJ
417	BZAK	BZAK
418	BZAL	BZAL
419	BZAM	BZAM
420	BZAN	BZAN
421	BZAP	BZAP
422	BZAR	BZAR
423	BZAS	BZAS
424	BYAL	BYAL
425	BYAM	BYAM
426	BYAN	BYAN
427	BYAP	BYAP
428	BYAS	BYAS
429	BYAT	BYAT
430	BYAU	BYAU
431	BYAW	BYAW
432	BYAX	BYAX
433	BYAA	BYAA
434	CAAA	CAAA
435	CAAB	CAAB
436	CAAC	CAAC
437	CAAD	CAAD
438	CAAF	CAAF
439	CAAG	CAAG
440	CAAH	CAAH
441	CAAJ	CAAJ
442	BHAS	BHAS
443	BYAB	BYAB
444	BYAC	BYAC
445	BYAD	BYAD
446	BYAF	BYAF
447	BYAG	BYAG
448	BYAH	BYAH
449	BYAR	BYAR
450	BYAV	BYAV
451	BYAZ	BYAZ
452	BZAT	BZAT
453	BZAU	BZAU
454	BZAV	BZAV
455	BZAW	BZAW
456	BZAX	BZAX
457	BZAY	BZAY
458	BZAZ	BZAZ
459	BYAJ	BYAJ
460	BYAK	BYAK
461	BYAY	BYAY
462	KKAW	KK.AW
463	BTAZ	BTAZ
464	BRAL	BRAL
465	CBAR	CBAR
466	BGAH	BGAH
467	AAAX	AAAX
468	AAAY	AAAY
469	AWAY	AWAY
470	AWAK	AWAK
471	AUAV	AUAV
472	ARAB	ARAB
473	ARAK	ARAK
474	ARAY	ARAY
475	BJAH	BJAH
476	APAC	APAC
477	ALAP	ALAP
478	ANAZ	ANAZ
479	APAV	APAV
480	AMAD	AMAD
481	ALAJ	ALAJ
482	AMAA	AMAA
483	AHAK	AHAK
484	AHAP	AHAP
485	AGAY	AGAY
486	ABAS	ABAS
487	ADAH	ADAH
488	AJAV	AJAV
489	ACAF	ACAF
490	AMAX	AMAX
491	AKAP	AKAP
492	AMAR	AMAR
493	ABAB	ABAB
494	APAX	APAX
495	BHAW	BHAW
496	AVAN	AVAN
497	AVAV	AVAV
498	AGAD	AGAD
499	AZAZ	AZAZ
500	AMAG	AMAG
501	AHAY	AHAY
502	AJAB	AJAB
503	AHAU	AHAU
504	ADAV	ADAV
505	AGAN	AGAN
506	AFAW	AFAW
507	AJAU	AJAU
