bird_id,bird_reference,bird_euring,bird_bto,bird_shorthand,bird_scheme,bird_ring_number,bird_name,bird_sex,bird_birth_year,bird_date_begin,bird_date_end,bird_rings_changed,bird_age_ringing,bird_ring_position,bird_ring_direction,bird_notes,inscription
,28623,05920,,B-LT.OF,,H...908482,,U,,2020-07-17T00:00:00Z,2020-08-01T00:00:00Z,2,1,RB,U,inscription color: W.,LT.OF
,28792,05910,,B-K.JOA,,L...930227,,U,,2020-07-17T00:00:00Z,2020-08-28T00:00:00Z,2,1,RB,U,inscription color: W.,K.JOA
,30439,05920,,B-HJO.N,BLB,H...908816,,U,,2019-09-09T00:00:00Z,2020-07-01T00:00:00Z,2,A,RB,U,inscription color: W.,HJO.N
