bird_id	bird_reference	bird_euring	bird_bto	bird_shorthand	bird_scheme	bird_ring_number	bird_name	bird_sex	bird_birth_year	bird_date_begin	bird_date_end	bird_age_ringing	bird_position	bird_direction	bird_notes
	1	05910		BW(BBAJ)	BLB	L....89194		U		20-07-1999		1			
	2	05910		BW(BAAV)	BLB	L....89321		U		23-07-1999		1			
	3	05910		BW(BAAW)	BLB	L....89322		U		23-07-1999		1			
	4	05910		BW(BAAX)	BLB	L....89323		U		23-07-1999		1			
	5	05910		BW(BAAY)	BLB	L....89324		U		23-07-1999		1	RL	U	
	6	05910		BW(BCAA)	BLB	L....89325		U		23-07-1999		1	RL	U	
	7	05910		BW(BBAL)	BLB	L....89195		U		23-07-1999		1	RL	U	
	8	05910		BW(BBAP)	BLB	L....89196		U		23-07-1999		1	RL		
	9	05910		BW(BBAR)	BLB	L....89197		U		23-07-1999		1			
	10	05910		BW(BKAX)	BLB	L....89198		M		23-07-1999		1	RL	U	
	11	05910		BBAT	BLB	L...907013		M		23-07-1999	18-06-2007	1			
	11	05910		BW(GHA.B)	BLB	L...907013		M		18-06-2007		A	RL	U	
	12	05910		BW(BBAU)	BLB	L....89200		U		23-07-1999		1	RL	U	
	13	05910		BW(BBAV)	BLB	L....89301		U		23-07-1999		1	RL		
	14	05910		BBAW	BLB	L...907446		U		23-07-1999	09-06-2008	1			
	14	05910		BW(KH.AA)	BLB	L...907446		U		09-06-2008		A	RL	U	
	15	05910		BBAX	BLB	L...909956		F		23-07-1999	22-05-2009	1			
	15	05910		BW(KZ.AC)	BLB	L...909956		F		22-05-2009		A	RL	U	
	16	05910		BW(BBAY)	BLB	L....89304		M		23-07-1999		1	RL	U	
	17	05910		BW(BBAZ)	BLB	L....89305		U		23-07-1999		1	RL	U	
	18	05910		BW(BAAA)	BLB	L....89306		U		23-07-1999		1			
	19	05910		BW(BAAB)	BLB	L....89307		U		23-07-1999		1	RL	U	
	20	05910		BW(BAAC)	BLB	L....89308		U		23-07-1999		1			
	21	05910		BW(BAAF)	BLB	L....89309		U		23-07-1999		1	RL	U	
	22	05910		BW(BAAG)	BLB	L....89310		M		23-07-1999		1	RL	U	
	23	05910		BW(BAAH)	BLB	L....89311		M		23-07-1999		1	RL	U	
	24	05910		BW(BAAJ)	BLB	L....89312		U		23-07-1999		1			
	25	05910		BW(BAAK)	BLB	L....89313		M		23-07-1999		1	RL	U	
	26	05910		BCAV	BLB	L...909920		M		29-07-1999	01-06-2009	1			
	26	05910		BW(L.MAA)	BLB	L...909920		M		01-06-2009		A	RL	U	
	27	05910		BW(BCAW)	BLB	L....89216		U		29-07-1999		1			
	28	05910		BW(BCAX)	BLB	L....89217		U		29-07-1999		1	RL		
	29	05910		BW(BCAY)	BLB	L....89218		U		29-07-1999		1			
	30	05910		BW(BCAZ)	BLB	L....89219		U		29-07-1999		1			
	31	05910		BW(BDAA)	BLB	L....89220		U		29-07-1999		1	RL	U	
	32	05910		ADAP	BLB	L...913155		M		29-07-1999	26-05-2011	1			
	32	05910		BW(NG.AP)	BLB	L...913155		M		26-05-2011		A	RL	D	
	33	05910		BW(BDAB)	BLB	L....89222		U		29-07-1999		1	RL	U	
	34	05910		BW(BDAC)	BLB	L....89223		U		29-07-1999		1			
	35	05910		BDAD	BLB	L...906637		M		29-07-1999	06-06-2007	1			
	35	05910		BW(G.MAA)	BLB	L...906637		M		06-06-2007		A	RL	U	
	36	05910		BW(BDAF)	BLB	L....89225		U		29-07-1999		1			
	37	05910		BW(BDAG)	BLB	L....89226		U		29-07-1999		1			
	38	05910		BDAH	BLB	L...904906		U		29-07-1999	07-06-2006	1			
	38	05910		BW(DF.AW)	BLB	L...904906		U		07-06-2006		A	RL	U	
	39	05910		BW(BDAJ)	BLB	L....89228		U		29-07-1999		1			
	40	05910		BW(BDAK)	BLB	L....89229		U		29-07-1999		1			
	41	05910		BW(BDAL)	BLB	L....89230		U		29-07-1999		1	RL	U	
	42	05910		BW(BDAM)	BLB	L....89231		F		29-07-1999		1			
	43	05910		BW(BBAA)	BLB	L....89187		U		20-07-1999		1			
	44	05910		BW(BBAB)	BLB	L....89188		M		20-07-1999		1	RL	U	
	45	05910		BW(BBAC)	BLB	L....89189		U		20-07-1999		1			
	46	05910		BW(BBAD)	BLB	L....89190		U		20-07-1999		1			
	47	05910		BW(BBAF)	BLB	L....89191		F		20-07-1999		1	RL	U	
	48	05910		BW(BDAN)	BLB	L....89232		F		29-07-1999		1	RL	U	
	49	05910		BW(BDAP)	BLB	L....89233		F		29-07-1999		1	RL	U	
	50	05910		BW(BDAR)	BLB	L....89234		U		29-07-1999		1			
	51	05910		BW(BDAS)	BLB	L....89235		U		29-07-1999		1	RL	U	
	52	05910		BW(BDAT)	BLB	L....89236		U		29-07-1999		1	RL	U	
	53	05910		BW(BDAU)	BLB	L....89237		M		29-07-1999		1	RL	U	
	54	05910		BW(BDAV)	BLB	L....89238		M		29-07-1999		1	RL	U	
	55	05910		BW(BDAW)	BLB	L....89239		U		29-07-1999		1	RL	U	
	56	05910		BW(BDAX)	BLB	L....89240		U		29-07-1999		1	RL	U	
	57	05910		BW(BDAZ)	BLB	L....89241		U		29-07-1999		1			
	58	05910		BW(AVAT)	BLB	L....89242		U		29-07-1999		1	RL	U	
	59	05910		BW(BCAR)	BLB	L....89211		U		28-07-1999		1	RL	U	
	60	05910		BW(BCAS)	BLB	L....89212		U		28-07-1999		1			
	61	05910		BW(BCAT)	BLB	L....89213		U		28-07-1999		1	RL	U	
	62	05910		BW(BCAU)	BLB	L....89214		U		28-07-1999		1			
	63	05910		BSAY	BLB	L...912663		M		29-07-1999	17-05-2012	1			
	63	05910		BW(TS.AK)	BLB	L...912663		M		17-05-2012		O	RL	U	
	64	05910		BCAD	BLB	L...907008		M		28-07-1999	14-06-2007	1			
	64	05910		BW(GJA.V)	BLB	L...907008		M		14-06-2007		A	RL	U	
	65	05910		BW(BCAF)	BLB	L....89202		U		28-07-1999		1			
	66	05910		BW(BCAG)	BLB	L....89203		U		28-07-1999		1	RL	U	
	67	05910		BW(BCAH)	BLB	L....89204		U		28-07-1999		1			
	68	05910		BW(BCAJ)	BLB	L....89205		U		28-07-1999		1			
	69	05910		BW(BCAK)	BLB	L....89206		U		28-07-1999		1	RL	U	
	70	05910		BW(BCAL)	BLB	L....89207		U		28-07-1999		1	RL	U	
	71	05910		BW(BCAM)	BLB	L....89208		U		28-07-1999		1	RL		
	72	05910		BCAN	BLB	L...904813		M		28-07-1999	26-05-2006	1			
	72	05910		BW(DH.AG)	BLB	L...904813		M		26-05-2006		A	RL	U	
	73	05910		BW(BCAP)	BLB	L....89210		U		28-07-1999		1	RL		
	74	05910			BLB	L....85111		U		01-06-1999	09-07-1999	1			sovon_bird_shorthand not available.
	74	05910		BW(BMAK)	BLB	L....85111		U		09-07-1999		1			
	75	05910			BLB	L...909989		M		01-06-1999	07-07-1999	1			sovon_bird_shorthand not available.
	75	05910		AFAS	BLB	L...909989		M		07-07-1999	25-05-2009	1			
	75	05910		BW(LBA.G)	BLB	L...909989		M		25-05-2009		A	RL	U	
	76	05910		ASAX	BLB	L...909270		M		07-07-1999	21-05-2008	1			
	76	05910		BW(KC.AN)	BLB	L...909270		M		21-05-2008		A	RL	U	
	77	05910		ASAY	BLB	L...909644		M		07-07-1999	18-05-2009	1			
	77	05910		BW(H.WAT)	BLB	L...909644		M		18-05-2009		A	RL	U	
	78	05910		BW(ASAU)	BLB	L....89123		U		07-07-1999		1			
	79	05910		BW(AWAB)	BLB	L....89133		U		09-07-1999		1	RL		
	80	05910		AUAP	BLB	L...909674		M		09-07-1999	04-06-2008	1			
	80	05910		BW(KG.AR)	BLB	L...909674		M		04-06-2008		A	RL	U	
	81	05910		BW(AVAA)	BLB	L....89135		U		09-07-1999		1			
	82	05910		BW(AVAC)	BLB	L....89136		U		09-07-1999		1			
	83	05910		AVAD	BLB	L...914601		M		09-07-1999	22-05-2012	1			
	83	05910		BW(U.TAL)	BLB	L...914601		M		22-05-2012		A	RL	U	
	84	05910		BW(AVAH)	BLB	L....89138		U		09-07-1999		1			
	85	05910		BW(AVAL)	BLB	L....89139		F		09-07-1999		1	RL	U	
	86	05910		BW(AVAS)	BLB	L....89140		U		09-07-1999		1	RL		
	87	05910		BW(AWAD)	BLB	L....89141		U		09-07-1999		1	RL	U	
	88	05910		BW(AWAF)	BLB	L....89142		M		09-07-1999		1	RL	U	
	89	05910		BW(AWAH)	BLB	L....89143		U		09-07-1999		1			
	90	05910		BW(AWAJ)	BLB	L....89144		U		09-07-1999		1			
	91	05910		BW(AWAM)	BLB	L....89145		U		09-07-1999		1			
	92	05910		BW(AWAN)	BLB	L....89146		M		09-07-1999		1	RL	D	
	93	05910		AWAR	BLB	L...902146		M		09-07-1999	23-05-2006	1			
	93	05910		BW(DG.AU)	BLB	L...902146		M		23-05-2006		A	RL	U	
	94	05910		BW(AWAU)	BLB	L....89148		M		09-07-1999		1	RL	U	
	95	05910		BW(AWAV)	BLB	L....89149		U		09-07-1999		1	RL	U	
	96	05910		BW(AWAW)	BLB	L....89150		U		09-07-1999		1			
	97	05910		BJAA	BLB	L...909636		M		09-07-1999	14-05-2009	1			
	97	05910		BW(HW.AF)	BLB	L...909636		M		14-05-2009		A	RL	U	
	98	05910		BW(BJAJ)	BLB	L....85154		U		09-07-1999		1	RL	U	
	99	05910		BW(BJAL)	BLB	L....85155		U		09-07-1999		1			
	100	05910		BW(AXAG)	BLB	L....89182		M		13-07-1999		1	RL	U	
	101	05910		BW(AXAJ)	BLB	L....89183		U		13-07-1999		1	RL		
	102	05910		BW(BJAP)	BLB	L....85156		U		09-07-1999		1	RL	U	
	103	05910		BW(BJAR)	BLB	L....85157		U		09-07-1999		1			
	104	05910		BW(BJAT)	BLB	L....85158		U		09-07-1999		1	RL	U	
	105	05910		BW(BJAX)	BLB	L....85159		U		09-07-1999		1	RL		
	106	05910		BJAY	BLB	L...907007		F		09-07-1999	14-06-2007	1			
	106	05910		BW(GJA.Y)	BLB	L...907007		F		14-06-2007		A	RL	U	
	107	05910		BW(BJAZ)	BLB	L....85161		F		09-07-1999		1	RL	U	
	108	05910		BW(BKAA)	BLB	L....85162		M		09-07-1999		1	RL	U	
	109	05910		BW(BKAC)	BLB	L....85163		U		09-07-1999		1			
	110	05910		BW(BKAD)	BLB	L....85164		U		09-07-1999		1			
	111	05910		BW(BKAJ)	BLB	L....85165		U		09-07-1999		1			
	112	05910		BW(BKAK)	BLB	L....85166		U		09-07-1999		1	RL	U	
	113	05910		BW(BKAN)	BLB	L....85167		M		09-07-1999		1	RL	U	
	114	05910		BW(BKAZ)	BLB	L....85168		U		09-07-1999		1	RL	U	
	115	05910		BW(BLAB)	BLB	L....85169		U		09-07-1999		1	RL		
	116	05910		BW(BLAC)	BLB	L....85170		U		09-07-1999		1	RL		
	117	05910		BLAD	BLB	L...909631		M		09-07-1999	18-05-2009	1			
	117	05910		BW(HW.AJ)	BLB	L...909631		M		18-05-2009		A	RL	U	
	118	05910		BW(BLAF)	BLB	L....85172		U		09-07-1999		1	RL		
	119	05910		BW(BLAG)	BLB	L....85173		U		09-07-1999		1			
	120	05910		BLAH	BLB	L...909268		M		09-07-1999	21-05-2008	1			
	120	05910		BW(KS.AF)	BLB	L...909268		M		21-05-2008		A	RL	U	
	121	05910		BW(BLAJ)	BLB	L....85175		U		09-07-1999		1	RL	U	
	122	05910		BW(BLAK)	BLB	L....85176		U		09-07-1999		1	RL	U	
	123	05910		BW(BLAL)	BLB	L....85177		U		09-07-1999		1			
	124	05910		BW(BLAM)	BLB	L....85178		U		09-07-1999		1			
	125	05910		BW(BLAN)	BLB	L....85179		U		09-07-1999		1	RL	U	
	126	05910		BW(BLAP)	BLB	L....85180		U		09-07-1999		1			
	127	05910		BLAR	BLB	L...909682		M		09-07-1999	04-06-2008	1			
	127	05910		BW(KK.AB)	BLB	L...909682		M		04-06-2008		A	RL	U	
	128	05910		BW(BLAT)	BLB	L....85182		U		09-07-1999		1			
	129	05910		BW(BLAU)	BLB	L....85183		U		09-07-1999		1			
	130	05910		BW(BMAP)	BLB	L....85195		U		09-07-1999		1			
	131	05910		BW(BMAR)	BLB	L....85196		U		09-07-1999		1			
	132	05910		BW(BMAS)	BLB	L....85197		U		09-07-1999		1			
	133	05910		BW(BMAT)	BLB	L....85198		F		09-07-1999		1	RL	U	
	134	05910		BW(BMAU)	BLB	L....85199		U		09-07-1999		1	RL	U	
	135	05910		BW(BMAV)	BLB	L....85200		U		09-07-1999		1			
	136	05910		BW(BLAV)	BLB	L....85184		U		09-07-1999		1			
	137	05910		BW(BLAW)	BLB	L....85185		U		09-07-1999		1	RL		
	138	05910		BW(BLAX)	BLB	L....85186		U		09-07-1999		1	RL	U	
	139	05910		BW(BLAY)	FRP	EA..676412		M		09-07-1999		1	RL	U	
	140	05910		BW(BMAA)	BLB	L....85188		M		09-07-1999		1	RL	U	
	141	05920		BW(BMAC)	BLB	H....99695		M		09-07-1999		1	RL	U	
	142	05910		BW(BMAD)	BLB	L....85189		M		09-07-1999		1	RL	U	
	143	05910		BW(BMAF)	BLB	L....85190		U		09-07-1999		1	RL	U	
	144	05910		BW(BMAG)	BLB	L....85191		U		09-07-1999		1	RL	U	
	145	05910		BW(BMAM)	BLB	L....85193		U		09-07-1999		1			
	146	05910		BMAN	BLB	L...909903		M		09-07-1999	29-05-2009	1			
	146	05910		BW(CZ.AX)	BLB	L...909903		M		29-05-2009		A	RL	U	
	147	05920		AAAA	BLB	H...159513		F		22-06-1999	02-06-2009	A			
	147	05920		BW(CY.AA)	BLB	H...159513		F		02-06-2009		A	RL	U	
	148	05920			BLB	H....36188		U		04-06-1999	09-07-1999	1			sovon_bird_shorthand not available.
	148	05920		BW(BJAG)	BLB	H....36188		U		09-07-1999		1			
	149	05920			BLB	H....36199		F		04-06-1999	07-07-1999	1			sovon_bird_shorthand not available.
	149	05920		BW(APAR)	BLB	H....36199		F		07-07-1999		1	LL	U	
	150	05920			BLB	H...106507		U		11-06-1999	02-07-1999	1			sovon_bird_shorthand not available.
	150	05920		BW(ABAA)	BLB	H...106507		U		02-07-1999		1	LL	U	
	151	05920			BLB	H...106508		U		11-06-1999	07-07-1999	1			sovon_bird_shorthand not available.
	151	05920		BW(ANAC)	BLB	H...106508		U		07-07-1999		1			
	152	05920			BLB	H...106509		M		11-06-1999	07-07-1999	1			sovon_bird_shorthand not available.
	152	05920		BW(AKAZ)	BLB	H...106509		M		07-07-1999		1	RL	U	
	153	05920			BLB	H...106510		M		11-06-1999	07-07-1999	1			sovon_bird_shorthand not available.
	153	05920		BW(ANAF)	BLB	H...106510		M		07-07-1999		1	LL	U	
	154	05920			BLB	H...106511		M		11-06-1999	07-07-1999	1			sovon_bird_shorthand not available.
	154	05920		BW(AMAB)	BLB	H...106511		M		07-07-1999		1	LL	U	
	155	05920		BW(AJAR)	BLB	H...106512		U		07-07-1999		1	RL	U	
	156	05920		AJAP	BLB	H...146476		M		07-07-1999	27-05-2008	1			
	156	05920		BW(KR.AL)	BLB	H...146476		M		27-05-2008		A	RL	U	
	157	05920		BW(AJAX)	BLB	H...106514		F		07-07-1999		1	RL	U	
	158	05920		AKAA	BLB	H...136827		F		07-07-1999	24-05-2006	1			
	158	05920		BW(FN.AH)	BLB	H...136827		F		24-05-2006		A	RL	U	
	159	05920		AKAB	BLB	H...152241		M		07-07-1999	23-05-2008	1			
	159	05920		BW(KS.AN)	BLB	H...152241		M		23-05-2008		A	RL	U	
	160	05920		BW(AKAD)	BLB	H...106517		U		07-07-1999		1			
	161	05920		BW(AKAG)	BLB	H...106518		U		07-07-1999		1	RL	U	
	162	05920		BW(AKAH)	BLB	H...106519		U		07-07-1999		1			
	163	05920		BW(AKAJ)	BLB	H...106520		U		07-07-1999		1	RL	U	
	164	05920		BW(AKAK)	BLB	H...106521		M		23-07-1999		1	RL	U	
	165	05910		BW(AKAM)	BLB	H...106522		U		07-07-1999		1	RL	U	
	166	05920		BW(AKAS)	BLB	H...106523		U		07-07-1999		1	RL	U	
	167	05920		BW(AKAT)	BLB	H...106524		U		07-07-1999		1	RL	U	
	168	05920		BW(ALAA)	BLB	H...106525		M		07-07-1999		1	RL	U	
	169	05920		BW(ALAB)	BLB	H...106526		U		07-07-1999		1	RL	U	
	170	05920		BW(ALAC)	BLB	H...106527		U		07-07-1999		1	RL		
	171	05920		BW(ALAD)	BLB	H...106528		U		07-07-1999		1			
	172	05920		BW(ALAF)	BLB	H...106529		U		07-07-1999		1	RL	U	
	173	05920		BW(ALAG)	BLB	H...106530		U		07-07-1999		1	RL	U	
	174	05920		BW(ALAN)	BLB	H...106531		U		07-07-1999		1	RL		
	175	05920		BW(ALAS)	BLB	H...106532		U		07-07-1999		1			
	176	05920		ALAU	BLB	H...145700		M		07-07-1999	07-07-2006	1			
	176	05920		BW(FAA.G)	BLB	H...145700		M		07-07-2006			RL	U	
	177	05920		BW(ALAY)	BLB	H...106534		U		07-07-1999		1	RL	U	
	178	05920		BW(AMAC)	BLB	H...106535		F		23-07-1999		1	RL	U	
	179	05920		BW(AMAH)	BLB	H...106536		M		07-07-1999		1	RL	U	
	180	05920		BW(AMAJ)	BLB	H...106537		U		07-07-1999		1			
	181	05920		AMAN	BLB	H...153875		M		07-07-1999	14-05-2009	1			
	181	05920		BW(CTA.G)	BLB	H...153875		M		14-05-2009		A	RL	U	
	182	05920		BW(AMAW)	BLB	H...106539		U		07-07-1999		1	LL	U	
	183	05920		BW(AMAY)	BLB	H...106540		U		07-07-1999		1	RL		
	184	05920		BW(AMAZ)	BLB	H...106541		U		07-07-1999		1			
	185	05920		BW(ANAG)	BLB	H...106542		U		07-07-1999		1	RL	U	
	186	05920		BW(ANAH)	BLB	H...106543		U		07-07-1999		1			
	187	05920		BW(ANAL)	BLB	H...106544		U		07-07-1999		1	RL		
	188	05920		BW(ANAR)	BLB	H...106545		M		07-07-1999		1	RL	U	
	189	05920		BW(ANAT)	BLB	H...106546		M		07-07-1999		1	RL	U	
	190	05920		BW(ANAX)	BLB	H...106547		U		07-07-1999		1			
	191	05920		BW(ANAY)	BLB	H...106548		U		07-07-1999		1	RL	U	
	192	05920		BW(APAA)	BLB	H...106549		M		07-07-1999		1	RL	U	
	193	05920		BW(APAB)	BLB	H...106550		U		07-07-1999		1			
	194	05920			BLB	H...106552		U		18-06-1999	20-07-1999	1			sovon_bird_shorthand not available.
	194	05920		BW(AZAV)	BLB	H...106552		U		20-07-1999		1			
	195	05920			BLB	H...106557		U		18-06-1999	23-07-1999	1			sovon_bird_shorthand not available.
	195	05920		BW(BAAD)	BLB	H...106557		U		23-07-1999		1			
	196	05920			BLB	H...106558		U		18-06-1999	09-07-1999	1			sovon_bird_shorthand not available.
	196	05920		BW(AWAS)	BLB	H...106558		U		09-07-1999		1	RL	U	
	197	05920		BW(BRAC)	BLB	H....99699		U		23-07-1999		1	RL		
	198	05920		BW(BRAA)	BLB	H....99700		U		13-07-1999		1	RL	D	
	199	05920		BW(BRAD)	NLA	...5360351		U		13-07-1999		1	RL		
	200	05920		BRAF	BLB	H...136842		F		13-07-1999	30-05-2006	1			
	200	05920		BW(F.UAJ)	BLB	H...136842		F		30-05-2006		A	RL	U	
	201	05920		BW(BRAG)	BLB	H...106653		U		13-07-1999		1	RL		
	202	05920		BW(BRAH)	BLB	H...106654		U		13-07-1999		1	RL	D	
	203	05920		BW(BRAJ)	BLB	H...106655		U		13-07-1999		1	RL	D	
	204	05920		BW(BRAK)	BLB	H...106656		U		13-07-1999		1	RL	D	
	205	05920		BW(BRAM)	BLB	H...106658		U		23-07-1999		1			
	206	05920		BW(BRAN)	BLB	H...106659		U		13-07-1999		1			
	207	05920			BLB	H...106675		U		13-07-1999	23-07-1999	1			sovon_bird_shorthand not available.
	207	05920		BW(BBAS)	BLB	H...106675		U		23-07-1999		1			
	208	05920			BLB	H...106681		U		13-07-1999	23-07-1999	1			sovon_bird_shorthand not available.
	208	05920		BW(BBAM)	BLB	H...106681		U		23-07-1999		1	RL	U	
	209	05920		AAAJ	BLB	H...136845		M		23-06-1999	17-05-2006	5			
	209	05920		BW(F.NAC)	BLB	H...136845		M		17-05-2006		A	RL	U	
	210	05920		AAAR	BLB	H...152230		M		24-06-1999	13-05-2008	A			
	210	05920		BW(KP.AU)	BLB	H...152230		M		13-05-2008		A	RL	U	
	211	05920		BW(AAAU)	BLB	H....99572		F		25-06-1999		A	RL	U	
	212	05920		BW(BRAP)	BLB	H...106660		F		13-07-1999		1	RL	U	
	213	05920		BW(BRAR)	BLB	H...106661		U		13-07-1999		1			
	214	05920		BW(BRAS)	BLB	H...106662		U		13-07-1999		1			
	215	05920		BW(BRAT)	BLB	H...106663		U		13-07-1999		1			
	216	05920		BW(BRAU)	BLB	H...106664		U		13-07-1999		1			
	217	05920		BRAV	BLB	H...136849		F		13-07-1999	01-06-2006	1			
	217	05920		BW(FH.AR)	BLB	H...136849		F		01-06-2006		A	RL	U	
	218	05920		BW(BRAW)	BLB	H...106666		U		13-07-1999		1			
	219	05920		BRAX	BLB	H...146485		M		13-07-1999	11-06-2008	1			
	219	05920		BW(KR.AV)	BLB	H...146485		M		11-06-2008		A	RL	U	
	220	05920		BW(BRAY)	BLB	H...106668		U		13-07-1999		1	RL	D	
	221	05920		BRAZ	BLB	H...145698		U		13-07-1999	19-06-2007	1			
	221	05920		BW(G.FAT)	BLB	H...145698		U		19-06-2007		A	RL	U	
	222	05920		BW(AAAB)	BLB	H....99574		F		22-06-1999		A	RL	U	
	223	05920		BW(AAAC)	BLB	H....99575		U		22-06-1999		A			
	224	05920		BW(AAAD)	BLB	H....99576		M		22-06-1999		A	RL	U	
	225	05920		BW(AAAF)	BLB	H....99577		M		22-06-1999		A	RL	U	
	226	05920		BW(AAAG)	BLB	H....99578		M		22-06-1999		A	RL	U	
	227	05920		BW(ACAM)	BLB	H....99582		U		02-07-1999		1	RL	U	
	228	05920		BW(ACAN)	BLB	H....99583		U		02-07-1999		1	RL	U	
	229	05920		BW(ACAX)	BLB	H....99584		U		02-07-1999		1	RL		
	230	05920		BW(ABAG)	BLB	H....99581		U		02-07-1999		1			
	231	05920		BW(ADAA)	BLB	H....99585		U		07-07-1999		1	RL	U	
	232	05920		BW(ADAL)	BLB	H....99586		U		07-07-1999		1	RL		
	233	05920		BW(ADAN)	BLB	H....99587		U		07-07-1999		1	RL	U	
	234	05920		BW(AFAH)	BLB	H....99588		U		07-07-1999		1	RL	U	
	235	05920		BW(AGAR)	BLB	H....99589		U		07-07-1999		1	RL		
	236	05920		BW(AGAT)	BLB	H....99590		F		07-07-1999		1	RL	U	
	237	05920		BW(AGAU)	BLB	H....99591		M		07-07-1999		1	RL	U	
	238	05920		AGAW	BLB	H...136833		M		07-07-1999	29-05-2006	1			
	238	05920		BW(F.SAG)	BLB	H...136833		M		29-05-2006		A	RL	U	
	239	05920		BW(AGAX)	BLB	H....99593		U		07-07-1999		1	RL		
	240	05920		BW(AGAZ)	BLB	H....99594		U		07-07-1999		1	RL		
	241	05920		BW(AHAA)	BLB	H....99595		U		07-07-1999		1	RL	U	
	242	05920		BW(AHAB)	BLB	H....99596		U		07-07-1999		1	RL	U	
	243	05920		BW(AHAG)	BLB	H....99597		M		07-07-1999		1	RL	U	
	244	05920		BW(AJAL)	BLB	H....99598		U		07-07-1999		1	LL	U	
	245	05920		BW(AJAM)	BLB	H....99599		U		07-07-1999		1	RL	U	
	246	05920		BW(AJAN)	BLB	H....99600		U		07-07-1999		1	RL	U	
	247	05920			NLA	...6142906		M		01-06-1999	02-07-1999	1			sovon_bird_shorthand not available.
	247	05920		ACAZ	NLA	...6142906		M		02-07-1999	19-05-2007	1			
	247	05920		YN(B0)	NLA	...6142906		M		19-05-2007		A			
	248	05920		BW(APAF)	BLB	H...106579		F		07-07-1999		1	RL	U	
	249	05920		BW(APAN)	BLB	H...106580		F		07-07-1999		1	RL	U	
	250	05920		BW(APAS)	BLB	H...106581		U		07-07-1999		1	RL	U	
	251	05920		BW(APAW)	BLB	H...106582		U		07-07-1999		1			
	252	05920		BW(APAZ)	BLB	H...106584		F		07-07-1999		1	RL	U	
	253	05920		BW(ARAD)	BLB	H...106585		F		07-07-1999		1	RL	U	
	254	05920		BW(ARAF)	BLB	H...106586		U		07-07-1999		1	RL		
	255	05920		BW(ARAL)	BLB	H...106587		U		07-07-1999		1	RL	U	
	256	05920		BW(ARAM)	BLB	H...106588		U		07-07-1999		1	RL	U	
	257	05920		BW(ARAP)	BLB	H...106589		U		07-07-1999		1	RL	U	
	258	05920		BW(ARAS)	BLB	H...106590		U		07-07-1999		1	RL	U	
	259	05920		BW(ARAV)	BLB	H...106591		U		07-07-1999		1			
	260	05920		BW(ARAW)	BLB	H...106592		U		07-07-1999		1	RL	U	
	261	05920		BW(ARAZ)	BLB	H...106593		U		07-07-1999		1			
	262	05920		BW(ASAA)	BLB	H...106594		U		07-07-1999		1	RL	U	
	263	05920		BW(ASAB)	BLB	H...106595		U		07-07-1999		1	RL	U	
	264	05920		BW(ASAL)	BLB	H...106596		U		07-07-1999		1	RL	U	
	265	05920		BW(ASAN)	BLB	H...106597		M		07-07-1999		1	RL	U	
	266	05920		BW(ASAD)	BLB	H...106598		F		07-07-1999		1	RL	U	
	267	05910			BLB	L....89032		U		02-07-1999	07-07-1999	1			sovon_bird_shorthand not available.
	267	05910		BW(ADAW)	BLB	L....89032		U		07-07-1999		1	RL	U	
	268	05910		BW(AFAJ)	BLB	L....89044		F		07-07-1999		1	RL	U	
	269	05910			BLB	L....89019		U		02-07-1999	07-07-1999	1			sovon_bird_shorthand not available.
	269	05910		BW(AFAK)	BLB	L....89019		U		07-07-1999		1	RL	U	
	270	05910			BLB	L...909671		M		02-07-1999	07-07-1999	1			sovon_bird_shorthand not available.
	270	05910		AFAR	BLB	L...909671		M		07-07-1999	04-06-2008	1			
	270	05910		BW(KG.AN)	BLB	L...909671		M		04-06-2008		A	RL	U	
	271	05920			BLB	H...145595		M		18-06-1999	07-07-1999	1			sovon_bird_shorthand not available.
	271	05920		AFAU	BLB	H...145595		M		07-07-1999	11-05-2006	1			
	271	05920		BW(FA.AB)	BLB	H...145595		M		11-05-2006		A	RL	D	
	272	05910			BLB	L....89027		U		02-07-1999	07-07-1999	1			sovon_bird_shorthand not available.
	272	05910		BW(AGAP)	BLB	L....89027		U		07-07-1999		1	LL	U	
	273	05910			BLB	L....89036		M		02-07-1999	07-07-1999	1			sovon_bird_shorthand not available.
	273	05910		BW(AHAL)	BLB	L....89036		M		07-07-1999		1	LL	U	
	274	05920			BLB	H...901951		M		18-06-1999	07-07-1999	1			sovon_bird_shorthand not available.
	274	05920		AJAT	BLB	H...901951		M		07-07-1999	16-05-2012	1			
	274	05920		BW(S.TAW)	BLB	H...901951		M		16-05-2012		A	RL	U	
	275	05910			BLB	L....89048		U		02-07-1999	07-07-1999	1			sovon_bird_shorthand not available.
	275	05910		BW(AKAC)	BLB	L....89048		U		07-07-1999		1			
	276	05920			BLB	H....99537		U		18-06-1999	07-07-1999	1			sovon_bird_shorthand not available.
	276	05920		BW(AKAL)	BLB	H....99537		U		07-07-1999		1			
	277	05920			BLB	H....99538		U		18-06-1999	07-07-1999	1			sovon_bird_shorthand not available.
	277	05920		BW(AKAR)	BLB	H....99538		U		07-07-1999		1	LL	U	
	278	05910			BLB	L....89014		U		02-07-1999	07-07-1999	1			sovon_bird_shorthand not available.
	278	05910		BW(AKAW)	BLB	L....89014		U		07-07-1999		1			
	279	05920			BLB	H...136755		M		18-06-1999	07-07-1999	1			sovon_bird_shorthand not available.
	279	05920		AMAS	BLB	H...136755		M		07-07-1999	25-05-2009	1			
	279	05920		BW(C.ZAD)	BLB	H...136755		M		25-05-2009		A	RL		
