bird_id,bird_reference,bird_euring,bird_bto,bird_shorthand,bird_scheme,bird_ring_number,bird_name,bird_sex,bird_birth_year,bird_date_begin,bird_date_end,bird_rings_changed,bird_age_ringing,bird_ring_position,bird_ring_direction,bird_notes
,2702,05920,,B-Z.NAH,BLB,H...907559,,U,,2016-07-15T00:00:00Z,2017-01-01T00:00:00Z,2,1,RB,U,inscription color: W.
,9104,05910,,B-DK.OF,BLB,L...927777,,U,,2018-07-09T00:00:00Z,2018-09-01T00:00:00Z,2,1,LB,U,inscription color: W.
,9104,05910,,,BLB,L...927777,,U,,2018-09-01T00:00:00Z,,1,1,LB,U,
,9677,05910,,B-DN.OB,BLB,L...927711,,U,,2018-07-09T00:00:00Z,2019-08-24T00:00:00Z,2,1,LB,U,inscription color: W.
,28870,05920,,B-L.POW,,H...908398,,U,,2020-07-17T00:00:00Z,2021-04-13T00:00:00Z,2,1,RB,U,inscription color: W.
,28870,05920,,,,H...908398,,U,,2021-04-13T00:00:00Z,,1,1,RB,U,
,30543,05910,,B-KB.OF,,L...930058,,U,,2020-07-10T00:00:00Z,2020-12-14T00:00:00Z,2,1,,,inscription color: W.
