bird_reference	raw_KleurringNummer	bird_date_begin	bird_shorthand_pt
117	BLAD	1999-07-09T00:00:00Z	BLAD
118	BLAF	1999-07-09T00:00:00Z	BLAF
119	BLAG	1999-07-09T00:00:00Z	BLAG
120	BLAH	1999-07-09T00:00:00Z	BLAH
121	BLAJ	1999-07-09T00:00:00Z	BLAJ
122	BLAK	1999-07-09T00:00:00Z	BLAK
123	BLAL	1999-07-09T00:00:00Z	BLAL
124	BLAM	1999-07-09T00:00:00Z	BLAM
125	BLAN	1999-07-09T00:00:00Z	BLAN
126	BLAP	1999-07-09T00:00:00Z	BLAP
127	BLAR	1999-07-09T00:00:00Z	BLAR
128	BLAT	1999-07-09T00:00:00Z	BLAT
129	BLAU	1999-07-09T00:00:00Z	BLAU
130	BMAP	1999-07-09T00:00:00Z	BMAP
131	BMAR	1999-07-09T00:00:00Z	BMAR
132	BMAS	1999-07-09T00:00:00Z	BMAS
133	BMAT	1999-07-09T00:00:00Z	BMAT
134	BMAU	1999-07-09T00:00:00Z	BMAU
135	BMAV	1999-07-09T00:00:00Z	BMAV
136	BLAV	1999-07-09T00:00:00Z	BLAV
137	BLAW	1999-07-09T00:00:00Z	BLAW
138	BLAX	1999-07-09T00:00:00Z	BLAX
139	BLAY	1999-07-09T00:00:00Z	BLAY
140	BMAA	1999-07-09T00:00:00Z	BMAA
141	BMAC	1999-07-09T00:00:00Z	BMAC
142	BMAD	1999-07-09T00:00:00Z	BMAD
143	BMAF	1999-07-09T00:00:00Z	BMAF
144	BMAG	1999-07-09T00:00:00Z	BMAG
145	BMAM	1999-07-09T00:00:00Z	BMAM
146	BMAN	1999-07-09T00:00:00Z	BMAN
147	AAAA	1999-06-22T00:00:00Z	AAAA
148	BJAG	1999-07-09T00:00:00Z	BJAG
149	APAR	1999-07-07T00:00:00Z	APAR
150	ABAA	1999-07-02T00:00:00Z	ABAA
151	ANAC	1999-07-07T00:00:00Z	ANAC
152	AKAZ	1999-07-07T00:00:00Z	AKAZ
153	ANAF	1999-07-07T00:00:00Z	ANAF
154	AMAB	1999-07-07T00:00:00Z	AMAB
155	AJAR	1999-07-07T00:00:00Z	AJAR
156	AJAP	1999-07-07T00:00:00Z	AJAP
157	AJAX	1999-07-07T00:00:00Z	AJAX
158	AKAA	1999-07-07T00:00:00Z	AKAA
159	AKAB	1999-07-07T00:00:00Z	AKAB
160	AKAD	1999-07-07T00:00:00Z	AKAD
161	AKAG	1999-07-07T00:00:00Z	AKAG
162	AKAH	1999-07-07T00:00:00Z	AKAH
163	AKAJ	1999-07-07T00:00:00Z	AKAJ
164	AKAK	1999-07-23T00:00:00Z	AKAK
165	AKAM	1999-07-07T00:00:00Z	AKAM
166	AKAS	1999-07-07T00:00:00Z	AKAS
167	AKAT	1999-07-07T00:00:00Z	AKAT
168	ALAA	1999-07-07T00:00:00Z	ALAA
169	ALAB	1999-07-07T00:00:00Z	ALAB
170	ALAC	1999-07-07T00:00:00Z	ALAC
171	ALAD	1999-07-07T00:00:00Z	ALAD
172	ALAF	1999-07-07T00:00:00Z	ALAF
173	ALAG	1999-07-07T00:00:00Z	ALAG
174	ALAN	1999-07-07T00:00:00Z	ALAN
175	ALAS	1999-07-07T00:00:00Z	ALAS
176	ALAU	1999-07-07T00:00:00Z	ALAU
177	ALAY	1999-07-07T00:00:00Z	ALAY
178	AMAC	1999-07-23T00:00:00Z	AMAC
179	AMAH	1999-07-07T00:00:00Z	AMAH
180	AMAJ	1999-07-07T00:00:00Z	AMAJ
181	AMAN	1999-07-07T00:00:00Z	AMAN
182	AMAW	1999-07-07T00:00:00Z	AMAW
183	AMAY	1999-07-07T00:00:00Z	AMAY
184	AMAZ	1999-07-07T00:00:00Z	AMAZ
185	ANAG	1999-07-07T00:00:00Z	ANAG
186	ANAH	1999-07-07T00:00:00Z	ANAH
187	ANAL	1999-07-07T00:00:00Z	ANAL
188	ANAR	1999-07-07T00:00:00Z	ANAR
189	ANAT	1999-07-07T00:00:00Z	ANAT
190	ANAX	1999-07-07T00:00:00Z	ANAX
191	ANAY	1999-07-07T00:00:00Z	ANAY
192	APAA	1999-07-07T00:00:00Z	APAA
193	APAB	1999-07-07T00:00:00Z	APAB
194	AZAV	1999-07-20T00:00:00Z	AZAV
195	BAAD	1999-07-23T00:00:00Z	BAAD
196	AWAS	1999-07-09T00:00:00Z	AWAS
197	BRAC	1999-07-23T00:00:00Z	BRAC
198	BRAA	1999-07-13T00:00:00Z	BRAA
199	BRAD	1999-07-13T00:00:00Z	BRAD
200	BRAF	1999-07-13T00:00:00Z	BRAF
201	BRAG	1999-07-13T00:00:00Z	BRAG
202	BRAH	1999-07-13T00:00:00Z	BRAH
203	BRAJ	1999-07-13T00:00:00Z	BRAJ
204	BRAK	1999-07-13T00:00:00Z	BRAK
205	BRAM	1999-07-23T00:00:00Z	BRAM
206	BRAN	1999-07-13T00:00:00Z	BRAN
207	BBAS	1999-07-23T00:00:00Z	BBAS
208	BBAM	1999-07-23T00:00:00Z	BBAM
209	AAAJ	1999-06-23T00:00:00Z	AAAJ
210	AAAR	1999-06-24T00:00:00Z	AAAR
211	AAAU	1999-06-25T00:00:00Z	AAAU
212	BRAP	1999-07-13T00:00:00Z	BRAP
213	BRAR	1999-07-13T00:00:00Z	BRAR
214	BRAS	1999-07-13T00:00:00Z	BRAS
215	BRAT	1999-07-13T00:00:00Z	BRAT
216	BRAU	1999-07-13T00:00:00Z	BRAU
217	BRAV	1999-07-13T00:00:00Z	BRAV
218	BRAW	1999-07-13T00:00:00Z	BRAW
219	BRAX	1999-07-13T00:00:00Z	BRAX
220	BRAY	1999-07-13T00:00:00Z	BRAY
221	BRAZ	1999-07-13T00:00:00Z	BRAZ
